z,logMstar,logSFR,source
10,5.720748829953198,-2.3770491803278686,hyper-sn (teal)
10,5.7301092043681745,-2.3770491803278686,hyper-sn (teal)
10,5.739469578783151,-2.364754098360656,hyper-sn (teal)
10,5.748829953198128,-2.3524590163934427,hyper-sn (teal)
10,5.758190327613105,-2.3524590163934427,hyper-sn (teal)
10,5.767550702028081,-2.3401639344262293,hyper-sn (teal)
10,5.776911076443057,-2.3401639344262293,hyper-sn (teal)
10,5.786271450858035,-2.3278688524590168,hyper-sn (teal)
10,5.795631825273011,-2.3155737704918034,hyper-sn (teal)
10,5.804992199687987,-2.3155737704918034,hyper-sn (teal)
10,5.814352574102964,-2.3278688524590168,hyper-sn (teal)
10,5.823712948517941,-2.3155737704918034,hyper-sn (teal)
10,5.8330733229329175,-2.3155737704918034,hyper-sn (teal)
10,5.842433697347894,-2.30327868852459,hyper-sn (teal)
10,5.85179407176287,-2.2909836065573774,hyper-sn (teal)
10,5.8611544461778475,-2.2909836065573774,hyper-sn (teal)
10,5.870514820592824,-2.278688524590164,hyper-sn (teal)
10,5.8798751950078,-2.2663934426229506,hyper-sn (teal)
10,5.889235569422777,-2.2663934426229506,hyper-sn (teal)
10,5.898595943837753,-2.254098360655738,hyper-sn (teal)
10,5.90795631825273,-2.254098360655738,hyper-sn (teal)
10,5.917316692667707,-2.2418032786885247,hyper-sn (teal)
10,5.926677067082683,-2.2295081967213113,hyper-sn (teal)
10,5.9360374414976596,-2.2295081967213113,hyper-sn (teal)
10,5.945397815912637,-2.2172131147540988,hyper-sn (teal)
10,5.954758190327613,-2.2049180327868854,hyper-sn (teal)
10,5.96411856474259,-2.2049180327868854,hyper-sn (teal)
10,5.973478939157566,-2.192622950819672,hyper-sn (teal)
10,5.982839313572543,-2.1803278688524594,hyper-sn (teal)
10,5.99219968798752,-2.1803278688524594,hyper-sn (teal)
10,6.001560062402496,-2.168032786885246,hyper-sn (teal)
10,6.0109204368174725,-2.168032786885246,hyper-sn (teal)
10,6.02028081123245,-2.1557377049180326,hyper-sn (teal)
10,6.029641185647426,-2.14344262295082,hyper-sn (teal)
10,6.0390015600624025,-2.14344262295082,hyper-sn (teal)
10,6.048361934477379,-2.1311475409836067,hyper-sn (teal)
10,6.057722308892355,-2.1188524590163933,hyper-sn (teal)
10,6.067082683307333,-2.1188524590163933,hyper-sn (teal)
10,6.076443057722309,-2.10655737704918,hyper-sn (teal)
10,6.085803432137285,-2.0942622950819674,hyper-sn (teal)
10,6.095163806552263,-2.0942622950819674,hyper-sn (teal)
10,6.104524180967239,-2.081967213114754,hyper-sn (teal)
10,6.113884555382215,-2.081967213114754,hyper-sn (teal)
10,6.123244929797192,-2.0696721311475406,hyper-sn (teal)
10,6.132605304212168,-2.057377049180328,hyper-sn (teal)
10,6.141965678627145,-2.057377049180328,hyper-sn (teal)
10,6.151326053042122,-2.0450819672131146,hyper-sn (teal)
10,6.160686427457098,-2.0327868852459012,hyper-sn (teal)
10,6.170046801872075,-2.0327868852459012,hyper-sn (teal)
10,6.179407176287052,-2.0204918032786887,hyper-sn (teal)
10,6.188767550702028,-2.0081967213114753,hyper-sn (teal)
10,6.198127925117005,-1.9959016393442623,hyper-sn (teal)
10,6.207488299531981,-1.9959016393442623,hyper-sn (teal)
10,6.2168486739469575,-1.9836065573770494,hyper-sn (teal)
10,6.226209048361935,-1.971311475409836,hyper-sn (teal)
10,6.235569422776911,-1.971311475409836,hyper-sn (teal)
10,6.244929797191888,-1.959016393442623,hyper-sn (teal)
10,6.254290171606864,-1.94672131147541,hyper-sn (teal)
10,6.263650546021841,-1.94672131147541,hyper-sn (teal)
10,6.273010920436818,-1.9344262295081966,hyper-sn (teal)
10,6.282371294851794,-1.9221311475409837,hyper-sn (teal)
10,6.29173166926677,-1.9221311475409837,hyper-sn (teal)
10,6.301092043681747,-1.9098360655737703,hyper-sn (teal)
10,6.310452418096724,-1.8975409836065573,hyper-sn (teal)
10,6.3198127925117005,-1.8975409836065573,hyper-sn (teal)
10,6.329173166926677,-1.8852459016393444,hyper-sn (teal)
10,6.338533541341654,-1.872950819672131,hyper-sn (teal)
10,6.3478939157566305,-1.860655737704918,hyper-sn (teal)
10,6.357254290171607,-1.848360655737705,hyper-sn (teal)
10,6.366614664586583,-1.848360655737705,hyper-sn (teal)
10,6.37597503900156,-1.8360655737704916,hyper-sn (teal)
10,6.385335413416537,-1.8237704918032787,hyper-sn (teal)
10,6.394695787831513,-1.8237704918032787,hyper-sn (teal)
10,6.40405616224649,-1.8114754098360657,hyper-sn (teal)
10,6.413416536661466,-1.8114754098360657,hyper-sn (teal)
10,6.422776911076443,-1.7991803278688523,hyper-sn (teal)
10,6.43213728549142,-1.7991803278688523,hyper-sn (teal)
10,6.441497659906396,-1.7868852459016393,hyper-sn (teal)
10,6.450858034321373,-1.7745901639344264,hyper-sn (teal)
10,6.460218408736349,-1.7745901639344264,hyper-sn (teal)
10,6.469578783151326,-1.762295081967213,hyper-sn (teal)
10,6.478939157566303,-1.75,hyper-sn (teal)
10,6.488299531981279,-1.737704918032787,hyper-sn (teal)
10,6.497659906396256,-1.737704918032787,hyper-sn (teal)
10,6.507020280811233,-1.7254098360655736,hyper-sn (teal)
10,6.516380655226209,-1.7131147540983607,hyper-sn (teal)
10,6.5257410296411855,-1.7131147540983607,hyper-sn (teal)
10,6.535101404056162,-1.7008196721311477,hyper-sn (teal)
10,6.544461778471138,-1.6885245901639343,hyper-sn (teal)
10,6.553822152886116,-1.6885245901639343,hyper-sn (teal)
10,6.563182527301092,-1.6762295081967213,hyper-sn (teal)
10,6.572542901716068,-1.6639344262295084,hyper-sn (teal)
10,6.581903276131046,-1.6639344262295084,hyper-sn (teal)
10,6.591263650546022,-1.651639344262295,hyper-sn (teal)
10,6.600624024960998,-1.639344262295082,hyper-sn (teal)
10,6.609984399375975,-1.639344262295082,hyper-sn (teal)
10,6.619344773790951,-1.627049180327869,hyper-sn (teal)
10,6.6287051482059285,-1.6147540983606556,hyper-sn (teal)
10,6.638065522620905,-1.6147540983606556,hyper-sn (teal)
10,6.647425897035881,-1.6024590163934427,hyper-sn (teal)
10,6.6567862714508585,-1.5901639344262297,hyper-sn (teal)
10,6.666146645865835,-1.5901639344262297,hyper-sn (teal)
10,6.675507020280811,-1.5778688524590163,hyper-sn (teal)
10,6.684867394695788,-1.5655737704918034,hyper-sn (teal)
10,6.694227769110764,-1.5655737704918034,hyper-sn (teal)
10,6.7035881435257405,-1.55327868852459,hyper-sn (teal)
10,6.712948517940718,-1.540983606557377,hyper-sn (teal)
10,6.722308892355694,-1.540983606557377,hyper-sn (teal)
10,6.731669266770671,-1.528688524590164,hyper-sn (teal)
10,6.741029641185648,-1.528688524590164,hyper-sn (teal)
10,6.750390015600624,-1.5163934426229506,hyper-sn (teal)
10,6.759750390015601,-1.5163934426229506,hyper-sn (teal)
10,6.769110764430577,-1.5163934426229506,hyper-sn (teal)
10,6.778471138845553,-1.5040983606557377,hyper-sn (teal)
10,6.787831513260531,-1.5040983606557377,hyper-sn (teal)
10,6.797191887675507,-1.5040983606557377,hyper-sn (teal)
10,6.8065522620904835,-1.4918032786885247,hyper-sn (teal)
10,6.815912636505461,-1.4918032786885247,hyper-sn (teal)
10,6.825273010920437,-1.4918032786885247,hyper-sn (teal)
10,6.8346333853354135,-1.4795081967213113,hyper-sn (teal)
